n_clusters,cluster,bathAverage,bathScore,chargeScore,description,distance,distanceScore,equipmentAverage,equipmentScore,hotelMiddleCharge,id,locationAverage,locationScore,mealAverage,mealScore,name,nearestStation,roomAverage,roomScore,serviceAverage,serviceScore,url
2,1,3.2,0.55,0.904974073363,3/24リニューアル!ビジネスはもちろん、浅草上野の観光や今話題の「秋葉原」へも、つくばTX線で２駅,0.498,0.783209876543,3.41,0.6025,4125.0,70659,3.26,0.565,3.11,0.5275,東横イン浅草千束つくばエクスプレス,浅草,3.74,0.685,3.78,0.695,http://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=70659
2,1,2.73,0.4325,0.978913001728,東京メトロ銀座線4番出口・都営浅草線A5番出口・東武線正面出口・各徒歩1分,0.582,0.741728395062,2.88,0.47,2200.0,15877,4.06,0.765,2.5,0.375,ホテル　カワセ,浅草,2.76,0.44,3.18,0.545,http://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=15877
2,1,3.6,0.65,0.769541002497,都内主要地へ行くにも交通便利。絶好のロケーション。,0.323,0.86962962963,3.79,0.6975,7651.0,15878,4.2,0.8,3.77,0.6925,ホテル東京ガーデンパレス,御茶ノ水,3.81,0.7025,4.0,0.75,http://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=15878
2,1,3.03,0.5075,0.902093335894,羽田空港、都内へのアクセス良好！ＪＲ蒲田駅東口より徒歩１分の好立地,0.171,0.944691358025,3.35,0.5875,4200.0,5385,4.37,0.8425,4.05,0.7625,グランパークホテル　パネックス東京,蒲田,3.4,0.6,3.43,0.6075,http://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=5385
2,1,3.72,0.68,0.879969272134,２０１１年１１月開業。都内名所、羽田空港に抜群のアクセス。最新設備とＣＯＯＬなデザイナーズルーム。,0.524,0.77037037037,3.73,0.6825,4776.0,134923,3.94,0.735,3.69,0.6725,相鉄フレッサイン　浜松町大門,浜松町,3.9,0.725,3.81,0.7025,http://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=134923
2,1,2.83,0.4575,0.955867101978,☆現金会員値特別価格での予約→03-3433-0006（楽天の場合「プラン一覧」での表示価格です。）,0.245,0.908148148148,2.25,0.3125,2800.0,17938,3.85,0.7125,3.0,0.5,レインボーホテル,新橋,2.05,0.2625,2.75,0.4375,http://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=17938
2,1,3.61,0.6525,0.788745918955,全室地デジ液晶TV設置!旅先がオフィスに、マイルームに変身!,0.716,0.675555555556,3.65,0.6625,7151.0,1556,4.13,0.7825,3.82,0.705,ホテル・パークサイド＜東京／上野＞,上野,3.82,0.705,3.7,0.675,http://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=1556
2,1,3.24,0.56,0.927021317457,全室32型ワイド液晶TVにモデルチェンジ、Ｗｉ－Ｆｉ無料 、光フィバー有線ＬＡＮ完備！,0.362,0.85037037037,3.4,0.6,3551.0,51734,3.91,0.7275,3.24,0.56,ホテルビスタ蒲田東京,蒲田,3.89,0.7225,3.73,0.6825,http://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=51734
2,0,3.13,0.5325,0.902093335894,窮屈なビジネスホテルが多い中、ゆったりとしたお部屋で快適にお過ごし頂けるホテルです。駅からも近い。,0.147,0.956543209877,3.05,0.5125,4200.0,44059,4.29,0.8225,0.0,-0.25,大塚シティホテル,大塚（東京）,3.42,0.605,3.63,0.6575,http://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=44059
2,0,2.0,0.25,0.892452467832,ビジネスや観光に便利な池袋駅より徒歩６分。各部屋で無料の無線ＬＡＮがご利用になれます。,0.582,0.741728395062,1.83,0.2075,4451.0,130586,2.71,0.4275,0.0,-0.25,ホテル昌庭,池袋,2.14,0.285,2.43,0.3575,http://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=130586
2,1,2.94,0.485,0.905934319186,◆全室高速ＬＡＮ、空気清浄機有完備。一部客室にはＤＶＤプレイヤーもあり。,0.293,0.884444444444,3.33,0.5825,4100.0,2335,3.76,0.69,4.0,0.75,ホテルサンライン蒲田,蒲田,3.56,0.64,3.7,0.675,http://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=2335
2,1,3.88,0.72,0.756097560976,皇居の水と緑の優しい風景に包まれたホテル,2.084,0.0,4.05,0.7625,8001.0,11039,4.25,0.8125,3.86,0.715,ホテルグランドアーク半蔵門,東京,4.37,0.8425,3.94,0.735,http://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=11039
2,1,3.82,0.705,0.77722296908,JR渋谷駅新南口直結！！ビジネスでのご利用はもちろん、観光スポットへのアクセスも抜群です！,0.324,0.869135802469,4.0,0.75,7451.0,14112,4.27,0.8175,3.86,0.715,ホテルメッツ渋谷　東京,渋谷,4.08,0.77,4.02,0.755,http://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=14112
2,1,4.19,0.7975,0.801728442481,2014年5月OPEN！新橋駅徒歩3分。全室無料Wi-Fi完備！洗濯乾燥機付き客室もございます。,0.339,0.861728395062,4.02,0.755,6813.0,145444,4.18,0.795,3.9,0.725,東急ステイ新橋,新橋,4.41,0.8525,3.77,0.6925,http://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=145444
2,0,2.71,0.4275,0.925100825811,1泊のホテル利用から長期滞在まで。サンシャインシティは徒歩圏内。東京ドームへは2駅4分。,0.094,0.982716049383,3.54,0.635,3601.0,17703,3.38,0.595,1.0,0.0,ホテルマイステイズ東池袋,大塚（東京）,4.04,0.76,3.42,0.605,http://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=17703
2,1,3.98,0.745,0.8492414058,2011年11月オープン！新橋駅から徒歩3分とビジネス観光に大変便利。大浴場で疲れを癒して下さい。,0.258,0.901728395062,4.2,0.8,5576.0,135973,4.59,0.8975,3.67,0.6675,ホテル新橋三番館,新橋,4.17,0.7925,4.13,0.7825,http://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=135973
2,1,3.75,0.6875,0.859804109852,浅草駅より徒歩３分。優雅さと気品に満ちたルーム。本館男性大浴場サウナあり。,0.316,0.873086419753,3.83,0.7075,5301.0,18476,4.57,0.8925,4.0,0.75,浅草セントラルホテル,浅草,3.92,0.73,4.14,0.785,http://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=18476
2,1,2.23,0.3075,0.846360668331,池袋駅東口から3分　安心の低価格　チェックアウト12時　ＬＡＮ接続無料　シアターグリーンも歩いてすぐ,0.364,0.849382716049,2.39,0.3475,5651.0,29229,4.09,0.7725,2.75,0.4375,東口池袋ロイヤルホテル,池袋,2.39,0.3475,2.47,0.3675,http://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=29229
