n_clusters,cluster,bathAverage,bathScore,chargeScore,description,distance,distanceScore,equipmentAverage,equipmentScore,hotelMiddleCharge,id,kinnennScore,locationAverage,locationScore,mealAverage,mealScore,name,nearestStation,roomAverage,roomScore,serviceAverage,serviceScore,tag,url
4,0,3.5,0.625,0.929710005761,ＪＲ蒲田駅徒歩0分！別館”和”の温泉＋岩盤浴が付いてるオトクなプランあり！ＶＯＤプランもオススメ！,0.1,0.97975308642,3.62,0.655,3481.0,101,1.0,4.76,0.94,3.79,0.6975,シティホテル弘城,蒲田,3.4,0.6,3.92,0.73,true1,http://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=101
4,3,3.23,0.5575,0.87136546956,ＪＲ蒲田駅西口徒歩５分！毎朝4:00発から６便！羽田空港へ送りバス有（予約定員制）全館Ｗｉ-Ｆｉ完備,0.443,0.81037037037,3.55,0.6375,5000.0,223,0.0,3.42,0.605,3.33,0.5825,アーヴェストホテル（蒲田駅西口）,蒲田,3.42,0.605,3.71,0.6775,true3,http://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=223
4,0,3.18,0.545,0.882888419435,羽田空港までモノレールで20分★観光・ビジネスにアクセス抜群！！ 全室無料Wi-F完備！,0.625,0.72049382716,3.54,0.635,4700.0,398,0.0,3.44,0.61,4.39,0.8475,チサンホテル浜松町,浜松町,3.53,0.6325,3.64,0.66,true3,http://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=398
4,0,3.56,0.64,0.965469560207,東京ドームまですぐという至便な立地ながら大通りより一本入った閑静なたたずまいのホテル。朝食サービス付,0.442,0.810864197531,4.19,0.7975,2550.0,462,1.0,4.16,0.79,3.83,0.7075,ホテルウィングインターナショナル後楽園,水道橋,3.72,0.68,4.32,0.83,true0,http://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=462
4,2,4.46,0.865,0.786863837142,美人の湯、熱の湯特徴を持った蒲田黒湯温泉で癒しののひととき。全室LANポート設置。羽田送客プランも有,0.174,0.943209876543,3.74,0.685,7200.0,568,1.0,4.78,0.945,3.27,0.5675,ホテル末広＜東京都＞,蒲田,3.65,0.6625,4.19,0.7975,true3,http://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=568
4,2,3.94,0.735,0.765700019205,【東京スカイツリー(R)フレンドシップホテル】粋な町・浅草らしさでおもてなし。,0.168,0.946172839506,4.02,0.755,7751.0,570,1.0,4.51,0.8775,4.43,0.8575,浅草ビューホテル,浅草,4.45,0.8625,4.13,0.7825,true3,http://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=570
4,0,3.46,0.615,0.880929517957,池袋駅東口徒歩2分と絶好のロケーション。全室LAN接続無料。館内24時間営業のコンビニあり。,0.262,0.89975308642,3.75,0.6875,4751.0,610,0.0,4.67,0.9175,4.29,0.8225,第一イン池袋,池袋,4.13,0.7825,3.9,0.725,true0,http://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=610
4,0,3.23,0.5575,0.940503168811,客室の窓からは浅草寺の境内がのぞめる部屋もあり散策が楽しめる。,0.539,0.762962962963,3.55,0.6375,3200.0,630,0.0,3.75,0.6875,4.09,0.7725,ヴィアイン浅草,浅草,3.96,0.74,3.72,0.68,true3,http://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=630
4,2,3.91,0.7275,0.782024198195,JR山手線大塚駅南口より徒歩１分！駐車場完備！車派も電車派も◎ワンランク上のウェディングスホテル！,0.059,1.0,4.15,0.7875,7326.0,839,1.0,4.7,0.925,3.94,0.735,ホテル　ベルクラシック東京,大塚（東京）,4.38,0.845,4.26,0.815,true1,http://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=839
4,0,3.25,0.5625,0.87136546956,新橋駅から徒歩３分。銀座８丁目に有る立地条件の良いビジネスホテル。,0.262,0.89975308642,3.55,0.6375,5000.0,864,0.0,4.68,0.92,4.0,0.75,銀座国際ホテル,新橋,3.84,0.71,3.76,0.69,true0,http://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=864
